alpha,kernel_size_h,kernel_size_w,learning_rate,variable,state
0.3259539438613706,4,3,0.000757121419126555,air,0
0.0627060494333043,2,3,0.0007422990881803821,air,6
0.6414197239123495,3,3,0.0005786400356360335,air,12
0.36858055939219503,3,3,0.0013045914538303263,air,18
0.8734795818413804,4,4,0.00036804761088746006,vwnd,0
0.6327855039471668,4,4,0.0011138152299147233,vwnd,6
0.8394184025900695,4,3,0.0015171474616105431,vwnd,12
0.7571164498342359,4,4,0.0010921630286945254,vwnd,18
0.698883180705712,4,3,0.0008895832833356647,uwnd,0
0.6521774575189992,4,3,0.0007216232480123006,uwnd,6
0.8478850225521469,3,4,0.0014442888689384773,uwnd,12
0.6085372931729714,3,3,0.003123624509850634,uwnd,18
